summoner_id,account_id,puuid,profile_icon_id,revision_date,summoner_level
_Curfq1gHAm-4iJDzQdeJ8BDJ7g17Q20HWBgQiLtrXYt0i9z,BFs-uWuTyoYZ6-IGNAWwHpSRdm8TrptBPtF0k3Ufintb_X0,1rOprnZ9RwCiYYBcRuoxEDB3fMS6hHRt4qpxpgVtokN1CCDGa1-4LYs4QhIL0hBt2Vdrx-cRZ3EAGg,5371,1725330754000,237
_CxVm6YGQT8932dA19-DvwGpFccUKoEeAyBElbYfvo8kmbhr,eZsxV9A7ZhRssPrWVwYoo3Brp_DSGd5oC982NmKQMlWFf77O5MF-8B1G,oQNXDgmGvf-3V2lppPjoovUJ-p8kKDHUJuPQy0TEodJg4YfsETItrjEQK_CxfIy3pkOVwH8LdtNTmw,6295,1725495292498,345
_dwKAUCTgSlZKJi6sXAfMyVJ1tPppTshsUhSLiGb4T5QBz88GJPsTVPa1A,ATbsO4y029xeyMvDPTcgtCCjtKheqe4Qh41c0_aXwojFd77sFBEm017p,spdecWO3-nDGCR5K2HksEUrygHj7zsoPoIlMhBHcl3sc2xwngUJqW9KfSuTUPBVUMf2asABZvW1ADw,5738,1725488299874,438
_dwZvs1i6caxtg7BmUgVdLqYc9Nqb5vMzBGwgFdxVsbpsdbu,ySJQIF78dNA32J1o9pzdaIWS6x6HTMgrrnMKbRo613PFspcwxVtmoSWk,rF9rgmfKPOK2MYn1o82ZOMRzN4GOFoPTgNZlV-hHjHd02ISsncQEfkmdiSs5dvcTl3gjjeswOWXgfg,683,1721789507000,60
_e2ZsQk4iKJXm_wd_WjghPSWac4bzXgRcJXCv9i_B3bc7eJW,FbAQG0GIAeJb8ZqoWWEMJFRJrBv5ewKomSbOC7UgfkG_pWstl4m22mm3,LcpDdbTSEXcrDQigrSonnrAewiSC4vaure4bVGuChoPz0iAlpR_pc0la-vfs_b4ddxtTubd4mixQqA,642,1724124394000,36
_elHaCw8-kTa-JQXHR2OtMQtj8CCBciw_EUySMYgXbnQqL8V,rP03y6a71a5SSvaV_1QByNW7R0UmLEa_Ysj4C6F2QI0Cw3i5tfaQvRQM,5yjol6OEIgfVUQCB_WaIX774Qn3l5nwIDxITxU_I_hHDpc6mDGTWZ798NFIpqaNkdRbgq3EM5wdTxA,5721,1725397523000,750
_eLM0yLKvvtHBvU9oul-S-keM0Ckc08B3x_qNMxjHEPofvGa,HNVRWCPqHv-9jKV7ECscLkpE9OSOj62W9lJbvIvW0ywgCblAFXayP-Km,kYciZSEqRtn00tGTqQJC77Pli_9VoeuSLd7-IjzEQXLkfBKIkvX3PqmQqX0vAtBWUh3UirJU5-NMTA,5183,1725510631055,409
_F5IVA7C-AvM_gvB6N4OpcBhd5c3I4gEp-uWRX1C1xtX4RVH,uGFOUmWGFFzHwGtmFd031mYenNw0HZiqEb4J1da2yIcPmwTWTkYjlSoY,pE-DpkQ_Ha4bmkBlvgKlOgWs8V-zDoRjjujnX_nBNCRccmbYyOw599SeL_FWFfELnY7VyhHkvXQ0Aw,5922,1725407544000,599
_f7D4IyDtPq4dbL7y996Nz8yqDKnvhPG6wPPsRX6Yg_RbVFB,0MwXPGken-iDShIBQX4CTP-eUluKr4VN-NHN4yNSqaLyG4_y-VRl7zE0,hvMVrV0u-SHH9XxyeJTsHHSFui0PJjnmPlKEwSZvSqwcLM9E6ViX1qcBIx5ARlEK3WPDmNiRZ0yI0Q,6080,1725242861000,690
_fAxewlSwJGFqPGSTD37rWnCiCqUNcXUeA1SY6g-9CISgWD7,THvUDYs-PrnxZNQxfW-XWejYmq2OYnQxx3-5NlDpU6OU2uI7W2y4K9nm,MsWpC4cEvcdtwLm3DX0iUeDXKVen9tAPhr7wPnDH0BLOJmNrwWUEN1zkky5Vie6YnqzgjfWWhNhC0w,5076,1725243346000,349
